,key,de-DE,en-US,da-DK,fi-FI,sv-SE
,acl.right.manager.group.system.plugin.example-plugin.example,Beispiel Plugin,Example Plugin,Example Plugin,Esimerkkilaajennus,Example Plugin
,example.app.label,Beispiel App,Example App,Example App,Esimerkkisovellus,Example App
,example.asset.detail.360degrees|icon,fa-eye,fa-eye,fa-eye,fa-eye,fa-eye
,example.asset.detail.360degrees|text,360°,360°,360°,360°,360°
,example.custom.data.type.config.option.mask.appearance.color.blue,Blau,Blue,Blue,Sininen,Blue
,example.custom.data.type.config.option.mask.appearance.color.green,Grün,Green,Green,Vihreä,Green
,example.custom.data.type.config.option.mask.appearance.color.red,Rot,Red,Red,Punainen,Red
,example.custom.data.type.config.parameter.mask.appearance.color.label,Farbe,Color,Color,Väri,Color
,example.custom.data.type.config.parameter.schema.range.from.label,Wert von,Value from,Value from,Arvo mistä,Value from
,example.custom.data.type.config.parameter.schema.range.to.label,Wert bis,Value to,Value to,Arvo mihin,Value to
,example.custom.data.type.datamodel_info,Werte: %(from)s - %(to)s,Values: %(from)s - %(to)s,Values: %(from)s - %(to)s,Arvot: %(from)s - %(to)s,Values: %(from)s - %(to)s
,example.custom.data.type.input.value,Wert,Value,Value,Arvo,Value
,example.custom.data.type.name,Beispiel Slider,Example Slider,Example Slider,Esimerkkiliukusäädin,Example Slider
,example.detail.sidebar.plugin.button|icon,fa-code,fa-code,fa-code,fa-code,fa-code
,example.export.manager.form.with_tags.label,YML mit Tags exportieren,Export YML with tags,Export YML with tags,Vie YML tunnisteilla,Export YML with tags
,example.export.manager.form.with_tags.text,YML Datei mit Python-spezifischen Tags erzeugen,Create YML file with python specific tags,Create YML file with python specific tags,Luo YML-tiedosto Python-kohtaisilla tunnisteilla,Create YML file with python specific tags
,example.export.manager.plugin.name,Beispiel Export Plugin,Example Export Plugin,Example Export Plugin,Esimerkki vientilaajennuksesta,Example Export Plugin
,example.mask.splitter.block.name,Beispiel Splitter (block),Example Splitter (block),Example Splitter (block),Esimerkkijakaja (lohko),Example Splitter (block)
,example.mask.splitter.block.option.color,%(value)s,%(value)s,%(value)s,%(value)s,%(value)s
Don't show this option,example.mask.splitter.block.option.style,-,-,-,-,-
,example.mask.splitter.block.title|text,Block Splitter,Block Splitter,Block Splitter,Lohkojakaja,Block Splitter
,example.mask.splitter.simple.name,Beispiel Splitter (einfach),Example Splitter (simple),Example Splitter (simple),Esimerkkijakaja (yksinkertainen),Example Splitter (simple)
,example.mask.splitter.simple.option.title,Titel: %(value)s,Title: %(value)s,Title: %(value)s,Otsikko: %(value)s,Title: %(value)s
,example.mask.splitter.simple.title|text,Einfacher Splitter,Simple Splitter,Simple Splitter,Yksinkertainen jakaja,Simple Splitter
,example.root.app.button.base_config|text,Basis Konfiguration,Base Config,Base Config,Peruskokoonpano,Base Config
,example.root.app.button.server_config|text,Server API: config,Server API: config,Server API: config,Palvelimen API: asetukset,Server API: config
,example.root.app.button.server_echo|text,Server API: echo,Server API: echo,Server API: echo,Palvelimen API: echo,Server API: echo
,example.root.app.button.server_instance|text,Server API: instance,Server API: instance,Server API: instance,Palvelimen API: esiintymä,Server API: instance
,example.root.app.button.server_session|text,Server API: session,Server API: session,Server API: session,Palvelimen API: istunto,Server API: session
,example.root.app.button.server_tmp|text,Server API: tmp,Server API: tmp,Server API: tmp,Palvelimen API: tmp,Server API: tmp
,example.root.app.button.system_right|text,System Rechte,System Rights,System Rights,Järjestelmäoikeudet,System Rights
,example.tray.app.button|icon,fa-question,fa-question,fa-question,fa-question,fa-question
,example.tray.app.button|tooltip,Klick mich!,Click me,Click me,Klikkaa tästä!,Click me
